,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
12,108年01月03日 05時59分00秒,基隆市七堵區明德一路 / 基隆市七堵區自治北街,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車,121.712519,25.097169
14,108年01月03日 07時20分00秒,基隆市安樂區基金一路230號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,121.704939,25.141623
30,108年01月06日 03時20分43秒,基隆市七堵區國道1號 3公里600.0公尺處南側,死亡1;受傷1,自用-小客車;乘客-人,121.679068,25.085872
119,108年01月18日 11時30分00秒,基隆市安樂區湖海路二段編號68506燈桿處,死亡1;受傷0,普通重型-機車,121.720409,25.163811
215,108年02月04日 15時56分00秒,基隆市仁愛區南榮路503之1號(梵宇天閣)前,死亡1;受傷0,普通重型-機車;自用-小客車,121.74191,25.113912
251,108年02月12日 02時55分00秒,基隆市暖暖區八堵路 / 基隆市暖暖區八堵路,死亡1;受傷0,普通重型-機車;自用-小客車,121.737668,25.110596
284,108年02月18日 14時25分00秒,基隆市仁愛區南榮路198號南榮公墓前,死亡2;受傷0,行人-人;自用-小客車;行人-人,121.744376,25.112762
530,108年04月10日 23時51分00秒,基隆市七堵區實踐路口 / 基隆市七堵區五福街口,死亡1;受傷1,計程車-小客車;乘客-人,121.694122,25.083575
567,108年04月19日 16時58分23秒,基隆市暖暖區國道1號 2公里500.0公尺處南側向交流道,死亡1;受傷1,自用-小客車;營業用-半聯結車,121.681838,25.085951
568,108年04月19日 21時45分00秒,基隆市中正區北寧路 / 基隆市中正區新豐街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.788281,25.143497
861,108年06月21日 03時50分00秒,基隆市中正區中正路82號前0.0公尺,死亡1;受傷0,普通重型-機車,121.749428,25.137635
905,108年06月28日 22時20分00秒,基隆市七堵區國道1號 7公里100.0公尺處北側向內側,死亡1;受傷0,行人-人;民營公車-大客車,121.679068,25.085872
1140,108年08月20日 19時45分00秒,基隆市仁愛區南榮路44號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.742706,25.125111
1331,108年10月01日 09時27分30秒,基隆市安樂區國道3號 400.0公尺處北側向交流道,死亡1;受傷2,遊覽車-大客車;乘客-人;乘客-人,121.711121,25.137505
1373,108年10月07日 18時20分00秒,基隆市暖暖區東勢街47號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.742926,25.088489
1528,108年11月07日 10時50分00秒,基隆市安樂區八德路43號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.728533,25.116459
1547,108年11月11日 17時27分00秒,基隆市中山區台2己線 北側向交流道,死亡1;受傷1,自用-小客車;營業用-半聯結車;乘客-人,121.743089,25.150867
